OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA_SEMANA_TXT,OC_DIA,OC_PERIODO_DIA,OC_PERIODO_DIA_TXT,OC_BAIRRO,OC_BAIRRO_TXT,OC_SUBCATEGORIA,OC_SUBCATEGORIA_TXT
2016,8,2,2-SEGUNDA,22,2,2-TARDE,25,SÍTIO CERCADO,1,Transporte Coletivo
2019,11,5,5-QUINTA,14,1,1-MANHA,4,TATUQUARA,6,Arrombamento
2015,9,4,4-QUARTA,16,2,2-TARDE,32,BATEL,9,Uso de substância ilícita
2020,6,1,1-DOMINGO,7,2,2-TARDE,45,ÁGUA VERDE,10,Estacionamento irregular
2015,7,5,5-QUINTA,16,3,3-NOITE,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2015,4,6,6-SEXTA,3,1,1-MANHA,46,CRISTO REI,4,Pichação
2017,5,4,4-QUARTA,10,3,3-NOITE,64,BIGORRILHO,1,Transporte Coletivo
2020,3,7,7-SABADO,7,2,2-TARDE,45,ÁGUA VERDE,10,Estacionamento irregular
2020,12,1,1-DOMINGO,27,1,1-MANHA,58,MERCÊS,6,Arrombamento
2016,7,4,4-QUARTA,27,3,3-NOITE,16,LINDÓIA,1,Transporte Coletivo
2018,3,1,1-DOMINGO,25,1,1-MANHA,19,BOQUEIRÃO,5,Vandalismo
2015,9,2,2-SEGUNDA,7,2,2-TARDE,5,CENTRO,8,Desordem
2020,11,4,4-QUARTA,11,3,3-NOITE,41,BACACHERI,10,Estacionamento irregular
2015,3,5,5-QUINTA,5,2,2-TARDE,14,GANCHINHO,5,Vandalismo
2018,9,1,1-DOMINGO,9,3,3-NOITE,58,MERCÊS,1,Transporte Coletivo
2020,2,2,2-SEGUNDA,3,2,2-TARDE,52,MOSSUNGUÊ,1,Transporte Coletivo
2015,8,5,5-QUINTA,27,2,2-TARDE,47,VISTA ALEGRE,9,Uso de substância ilícita
2018,12,1,1-DOMINGO,16,3,3-NOITE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2020,3,7,7-SABADO,7,2,2-TARDE,24,SANTO INÁCIO,10,Estacionamento irregular
2017,1,1,1-DOMINGO,22,1,1-MANHA,9,CIDADE INDUSTRIAL,1,Transporte Coletivo
2017,10,5,5-QUINTA,5,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2015,3,7,7-SABADO,7,2,2-TARDE,8,FAZENDINHA,7,Invasão de equipamento/patrimônio público
2015,11,5,5-QUINTA,19,2,2-TARDE,47,VISTA ALEGRE,9,Uso de substância ilícita
2020,1,3,3-TERCA,21,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2019,10,7,7-SABADO,19,1,1-MANHA,8,FAZENDINHA,9,Uso de substância ilícita
2019,11,7,7-SABADO,23,3,3-NOITE,26,CAMPO COMPRIDO,4,Pichação
2018,3,2,2-SEGUNDA,5,3,3-NOITE,25,SÍTIO CERCADO,5,Vandalismo
2020,1,5,5-QUINTA,23,3,3-NOITE,19,BOQUEIRÃO,5,Vandalismo
2020,4,1,1-DOMINGO,12,2,2-TARDE,38,BOA VISTA,9,Uso de substância ilícita
2019,11,2,2-SEGUNDA,11,3,3-NOITE,25,SÍTIO CERCADO,5,Vandalismo
2017,4,1,1-DOMINGO,2,1,1-MANHA,38,BOA VISTA,9,Uso de substância ilícita
2017,7,4,4-QUARTA,19,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2015,1,6,6-SEXTA,23,2,2-TARDE,5,CENTRO,1,Transporte Coletivo
2016,8,4,4-QUARTA,10,4,4-MADRUGADA,30,CAJURU,6,Arrombamento
2015,12,1,1-DOMINGO,13,2,2-TARDE,2,ALTO DA RUA XV,4,Pichação
2020,5,1,1-DOMINGO,31,1,1-MANHA,23,SÃO FRANCISCO,4,Pichação
2020,6,7,7-SABADO,6,3,3-NOITE,1,XAXIM,10,Estacionamento irregular
2016,1,1,1-DOMINGO,24,1,1-MANHA,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
